customer_id,age,annual_income,spending_score,days_since_last_purchase,credit_score,signup_date,region_Central,region_East,region_North,region_South,region_West
1,35.0,35935.884999999995,18.8,0.1,585.0,2023-08-02,True,False,False,False,False
2,33.0,25267.36,17.0,55.1,621.0,2020-08-16,False,False,False,True,False
3,42.0,35935.884999999995,51.1,148.6,538.0,2020-02-21,False,False,False,True,False
4,35.0,27887.33,31.9,42.6,641.0,2024-02-27,False,False,False,True,False
5,35.0,35935.884999999995,38.4,0.2,625.0,2021-07-17,False,False,True,False,False
6,32.0,35935.884999999995,8.5,14.8,665.0,2021-05-16,False,True,False,False,False
7,53.0,84017.98,46.1,153.4,663.0,2021-04-02,False,False,False,False,True
8,35.0,35935.884999999995,32.6,1.0,727.0,2020-10-12,False,True,False,False,False
9,35.0,35935.884999999995,6.1,30.1,648.0,2024-02-17,False,True,False,False,False
10,35.0,35935.884999999995,40.1,93.6,583.0,2020-07-28,False,False,True,False,False
11,29.0,35935.884999999995,24.5,109.2,585.0,2023-10-17,True,False,False,False,False
12,29.0,65305.94,30.3,39.0,597.0,2024-02-25,True,False,False,False,False
13,35.0,35935.884999999995,14.1,15.9,673.0,2023-01-21,False,False,True,False,False
14,18.0,30027.03,31.1,54.9,648.0,2020-06-27,False,False,True,False,False
15,18.0,35935.884999999995,4.1,18.4,574.0,2023-04-24,False,False,True,False,False
16,35.0,35935.884999999995,9.7,17.7,654.0,2022-05-14,False,True,False,False,False
17,35.0,35935.884999999995,51.8,98.9,746.0,2020-03-06,False,False,True,False,False
18,38.0,35935.884999999995,24.2,10.1,579.0,2020-03-02,False,False,False,False,True
19,24.0,35935.884999999995,19.1,0.3,678.0,2020-07-10,False,False,False,True,False
20,35.0,35935.884999999995,30.5,24.6,633.0,2021-03-23,True,False,False,False,False
21,52.0,35935.884999999995,36.5,40.5,690.0,2021-04-21,False,False,False,False,True
22,32.0,35935.884999999995,26.1,73.3,655.0,2022-10-31,True,False,False,False,False
23,35.0,35935.884999999995,69.4,91.2,652.0,2023-05-17,False,True,False,False,False
24,18.0,10101.95,33.7,65.4,850.0,2020-02-24,False,True,False,False,False
25,28.0,224508.58,24.7,59.1,850.0,2023-02-23,False,False,True,False,False
26,36.0,35935.884999999995,2.8,65.8,629.0,2021-02-11,True,False,False,False,False
27,21.0,15905.61,14.4,19.0,577.0,2024-01-06,False,True,False,False,False
28,35.0,35935.884999999995,26.9,28.9,669.0,2023-08-23,False,True,False,False,False
29,35.0,35935.884999999995,4.5,57.5,698.0,2023-12-07,True,False,False,False,False
30,35.0,35935.884999999995,36.1,4.1,756.0,2023-01-21,False,True,False,False,False
31,27.0,35935.884999999995,8.4,21.0,470.0,2022-05-09,False,False,True,False,False
32,57.0,35935.884999999995,21.2,31.3,617.0,2021-03-27,False,True,False,False,False
33,34.0,35935.884999999995,24.8,45.7,609.0,2022-07-08,False,False,False,False,True
34,35.0,35935.884999999995,58.0,40.0,585.0,2023-04-21,False,False,False,False,True
35,44.0,35935.884999999995,72.1,76.0,530.0,2021-07-23,False,False,True,False,False
36,35.0,35935.884999999995,43.4,38.5,632.0,2024-07-15,False,False,False,False,True
37,35.0,35935.884999999995,26.9,140.7,706.0,2024-11-15,False,True,False,False,False
38,35.0,35935.884999999995,24.3,28.7,550.0,2020-01-14,False,False,False,False,True
39,35.0,35935.884999999995,26.9,44.7,657.0,2024-04-03,False,False,False,False,True
40,37.0,49342.18,20.8,0.2,684.0,2024-07-08,False,True,False,False,False
41,43.0,35935.884999999995,20.3,22.3,781.0,2020-11-22,True,False,False,False,False
42,35.0,35935.884999999995,14.0,120.9,701.0,2023-11-30,False,False,True,False,False
43,33.0,35935.884999999995,37.0,24.3,643.0,2022-05-15,True,False,False,False,False
44,35.0,35935.884999999995,41.6,17.5,675.0,2021-11-27,True,False,False,False,False
45,35.0,35935.884999999995,14.9,47.1,711.0,2021-07-23,False,False,False,False,False
46,35.0,35935.884999999995,15.9,4.9,660.0,2020-11-14,False,False,False,True,False
47,29.0,35935.884999999995,48.2,45.5,713.0,2021-03-16,True,False,False,False,False
48,47.0,35935.884999999995,14.0,21.7,623.0,2024-04-12,False,True,False,False,False
49,39.0,35935.884999999995,26.9,29.0,746.0,2021-11-20,False,True,False,False,False
50,35.0,35935.884999999995,51.8,94.0,609.0,2020-07-28,False,True,False,False,False
