customer_id,age,annual_income,spending_score,days_since_last_purchase,credit_score,region,signup_date
1,,,18.8,0.1,585.0,Central,2023-08-02
2,33.0,25267.36,17.0,55.1,621.0,South,2020-08-16
3,42.0,,51.1,148.6,538.0,South,2020-02-21
4,,27887.33,31.9,42.6,641.0,South,2024-02-27
5,,,38.4,0.2,625.0,North,2021-07-17
6,32.0,,8.5,14.8,665.0,East,2021-05-16
7,53.0,84017.98,46.1,153.4,663.0,West,2021-04-02
8,,,32.6,1.0,727.0,East,2020-10-12
9,,,6.1,30.1,,East,2024-02-17
10,,,40.1,93.6,583.0,North,2020-07-28
11,29.0,,24.5,109.2,585.0,Central,2023-10-17
12,29.0,65305.94,30.3,39.0,597.0,Central,2024-02-25
13,,,14.1,15.9,673.0,North,2023-01-21
14,18.0,30027.03,31.1,54.9,,North,2020-06-27
15,18.0,,4.1,18.4,574.0,North,2023-04-24
16,,,9.7,17.7,654.0,East,2022-05-14
17,,,51.8,98.9,746.0,North,2020-03-06
18,38.0,,24.2,10.1,579.0,West,2020-03-02
19,24.0,,19.1,0.3,678.0,South,2020-07-10
20,,,30.5,24.6,633.0,Central,2021-03-23
21,52.0,,36.5,40.5,690.0,West,2021-04-21
22,32.0,,26.1,73.3,655.0,Central,2022-10-31
23,,,69.4,91.2,652.0,East,2023-05-17
24,18.0,10101.95,33.7,65.4,850.0,East,2020-02-24
25,28.0,224508.58,24.7,59.1,850.0,North,2023-02-23
26,36.0,,2.8,65.8,629.0,Central,2021-02-11
27,21.0,15905.61,14.4,19.0,577.0,East,2024-01-06
28,,,,28.9,669.0,East,2023-08-23
29,,,4.5,57.5,698.0,Central,2023-12-07
30,,,36.1,4.1,756.0,East,2023-01-21
31,27.0,,8.4,21.0,470.0,North,2022-05-09
32,57.0,,21.2,31.3,617.0,East,2021-03-27
33,34.0,,24.8,45.7,609.0,West,2022-07-08
34,,,58.0,40.0,585.0,West,2023-04-21
35,44.0,,72.1,76.0,530.0,North,2021-07-23
36,,,43.4,38.5,632.0,West,2024-07-15
37,,,,140.7,706.0,East,2024-11-15
38,,,24.3,28.7,550.0,West,2020-01-14
39,,,,44.7,657.0,West,2024-04-03
40,37.0,49342.18,20.8,0.2,684.0,East,2024-07-08
41,43.0,,20.3,22.3,781.0,Central,2020-11-22
42,,,14.0,120.9,701.0,North,2023-11-30
43,33.0,,37.0,24.3,643.0,Central,2022-05-15
44,,,41.6,17.5,675.0,Central,2021-11-27
45,,,14.9,47.1,711.0,,2021-07-23
46,,,15.9,4.9,660.0,South,2020-11-14
47,29.0,,48.2,45.5,713.0,Central,2021-03-16
48,47.0,,14.0,21.7,623.0,East,2024-04-12
49,39.0,,,29.0,746.0,East,2021-11-20
50,,,51.8,94.0,609.0,East,2020-07-28
51,38.0,,10.7,65.1,595.0,South,2020-07-08
52,30.0,,,35.4,613.0,South,2022-02-17
53,,47730.61,17.5,51.7,572.0,North,2020-07-17
54,42.0,29229.92,22.0,87.4,710.0,South,2022-01-05
55,,,28.7,82.2,524.0,North,2024-10-01
56,46.0,,17.7,12.3,615.0,East,2021-12-05
57,,,33.5,21.5,676.0,South,2023-05-21
58,,36885.23,37.8,25.7,651.0,West,2021-06-25
59,,,77.6,12.5,647.0,West,2024-07-10
60,,25871.26,48.5,0.7,,West,2020-03-29
61,29.0,,36.0,11.5,663.0,South,2024-02-03
62,32.0,,25.6,99.1,570.0,South,2022-07-29
63,21.0,,22.2,47.4,612.0,South,2023-01-03
64,20.0,,46.1,25.1,629.0,West,2020-09-12
65,44.0,,,56.2,686.0,East,2022-02-14
66,,,21.0,80.8,,Central,2020-06-10
67,,,14.1,26.3,,East,2023-02-04
68,47.0,,22.1,37.6,709.0,South,2021-08-23
69,39.0,,12.0,4.0,657.0,Central,2024-08-25
70,27.0,,26.3,54.5,644.0,Central,2023-07-11
71,,,21.1,26.4,713.0,East,2023-06-20
72,53.0,30462.89,27.9,34.1,534.0,West,2024-12-18
73,34.0,,25.8,33.0,,North,2024-10-30
74,53.0,10464.05,38.1,60.0,595.0,West,2022-01-10
75,18.0,,27.4,51.0,733.0,West,2023-03-28
76,44.0,39365.02,33.6,32.9,597.0,Central,2021-01-28
77,36.0,,33.8,1.0,625.0,South,2023-12-13
78,,83260.3,30.8,58.2,525.0,South,2020-05-22
79,36.0,47455.65,32.3,127.0,679.0,Central,2020-04-03
80,18.0,,22.5,88.1,617.0,West,2023-09-16
81,,,54.7,239.8,607.0,East,2021-04-11
82,39.0,,31.4,9.0,652.0,North,2024-05-02
83,52.0,,6.5,15.1,516.0,,2021-08-15
84,,15438.14,13.1,46.5,595.0,West,2020-06-12
85,,,31.2,16.1,635.0,North,2024-10-17
86,28.0,,23.3,2.1,767.0,East,2021-04-21
87,45.0,,27.3,30.9,665.0,North,2024-11-09
88,38.0,54394.42,5.5,20.4,682.0,Central,2020-07-25
89,,38855.88,33.6,18.4,655.0,North,2022-02-17
90,41.0,,7.6,183.7,850.0,North,2021-07-23
91,36.0,8462.43,52.0,16.3,722.0,West,2022-07-17
92,46.0,,17.3,8.3,487.0,West,2023-07-25
93,26.0,,30.4,8.0,668.0,South,2024-09-04
94,31.0,,13.6,98.5,737.0,North,2022-01-17
95,,33120.65,3.0,75.3,534.0,Central,2020-11-29
96,18.0,,12.5,8.3,658.0,South,2022-01-28
97,38.0,73963.21,22.0,14.9,607.0,North,2021-12-28
98,,,,82.5,582.0,West,2021-03-05
99,35.0,,66.2,19.3,757.0,Central,2023-10-04
100,,38348.01,26.0,239.5,597.0,East,2021-06-30
101,18.0,,15.7,46.7,598.0,South,2023-12-08
102,29.0,,43.6,12.8,578.0,West,2023-10-31
103,,44296.46,21.9,117.5,563.0,East,2023-08-20
104,25.0,,37.0,23.1,606.0,North,2020-05-26
105,,50020.52,11.2,20.4,602.0,Central,2023-06-01
106,39.0,,44.7,23.8,,West,2023-07-24
107,57.0,15931.0,13.3,87.7,648.0,West,2020-12-16
108,37.0,,25.4,11.4,448.0,Central,2022-12-29
109,,,25.1,28.9,658.0,West,2024-02-02
110,34.0,,49.5,1.9,728.0,West,2021-05-16
111,18.0,24722.81,29.1,105.1,608.0,North,2020-11-30
112,,276925.92,30.9,25.0,678.0,South,2022-08-04
113,35.0,,41.5,17.1,630.0,East,2022-02-16
114,,11808.9,11.8,52.0,838.0,Central,2021-07-06
115,,,21.1,73.2,728.0,East,2023-08-03
116,38.0,,43.6,100.6,581.0,Central,2023-11-10
117,34.0,,34.5,25.6,753.0,Central,2023-02-14
118,,,22.4,100.4,843.0,West,2021-03-25
119,,10240.01,98.58,37.5,633.0,North,2023-11-03
120,,,17.3,6.4,689.0,Central,2021-10-26
121,44.0,,17.5,112.4,731.0,East,2024-09-22
122,,,15.0,47.6,560.0,South,2024-04-22
123,51.0,29551.91,32.8,55.3,503.0,East,2024-05-08
124,,34347.8,16.7,166.3,,North,2020-04-24
125,,,50.7,49.1,584.0,South,2021-04-14
126,61.0,21017.12,76.5,0.3,633.0,West,2024-08-10
127,23.0,,14.3,122.7,732.0,East,2020-03-06
128,,,22.6,20.1,695.0,East,2024-07-06
129,,,38.3,41.8,695.0,Central,2021-10-08
130,28.0,39271.79,32.8,13.8,640.0,Central,2022-04-01
131,18.0,51472.59,20.1,21.1,598.0,South,2021-07-02
132,,71329.95,32.7,69.6,,West,2020-05-15
133,22.0,,37.0,33.7,789.0,Central,2021-03-08
134,40.0,52201.6,,59.2,830.0,East,2023-03-07
135,23.0,,53.6,104.1,736.0,South,2024-11-29
136,53.0,,39.8,25.0,,Central,2024-01-10
137,,,22.0,50.4,561.0,Central,2021-10-06
138,31.0,65065.71,14.6,90.2,850.0,North,2021-03-11
139,,,22.0,75.3,686.0,South,2023-09-04
140,,21434.75,31.3,46.6,685.0,South,2022-10-19
141,,22941.88,7.3,29.0,602.0,West,2022-03-21
142,,,24.9,31.4,,Central,2024-12-16
143,18.0,,61.4,34.1,633.0,South,2023-08-09
144,37.0,26213.55,78.8,25.7,566.0,West,2022-07-28
145,,,,72.1,623.0,Central,2020-10-19
146,44.0,,7.5,8.0,682.0,East,2021-06-26
147,20.0,,35.4,205.5,773.0,North,2020-10-12
148,,30665.47,6.7,90.6,524.0,West,2021-05-20
149,,65992.02,20.0,21.2,551.0,North,2024-03-05
150,38.0,,31.8,2.6,616.0,East,2023-02-23
151,38.0,,37.4,74.5,575.0,South,2023-01-08
152,39.0,,53.7,79.5,650.0,Central,2021-06-22
153,26.0,,7.1,198.8,611.0,South,2024-03-09
154,37.0,,26.3,17.6,660.0,North,2023-04-12
155,,,18.2,5.2,663.0,,2022-05-27
156,26.0,,38.8,148.0,542.0,South,2023-04-10
157,,,10.9,18.0,633.0,West,2022-03-28
158,40.0,,8.8,76.7,586.0,West,2022-01-11
159,20.0,,27.9,3.8,741.0,East,2021-03-25
160,42.0,,4.3,85.8,596.0,West,2020-10-10
161,23.0,45179.95,45.6,8.2,610.0,West,2022-11-09
162,44.0,,35.6,71.4,577.0,West,2022-10-07
163,48.0,33739.84,25.4,45.6,648.0,West,2020-07-05
164,25.0,,18.9,186.7,638.0,East,2024-03-27
165,,,,2.3,,West,2020-04-06
166,,,25.9,20.7,648.0,West,2024-10-29
167,44.0,24273.59,52.5,4.3,758.0,North,2020-08-12
168,57.0,,53.0,126.8,773.0,West,2020-11-09
169,32.0,19674.99,51.7,54.1,622.0,East,2023-07-09
170,25.0,14728.65,55.5,45.9,636.0,East,2020-11-23
171,24.0,,34.8,8.5,604.0,South,2024-06-10
172,,,17.1,40.3,552.0,West,2023-10-25
173,34.0,26063.69,47.9,30.5,839.0,Central,2022-05-14
174,39.0,16380.73,54.7,22.8,605.0,South,2023-05-06
175,38.0,,43.5,88.8,578.0,East,2020-05-10
176,,153452.15,44.2,3.8,565.0,,2022-02-27
177,35.0,,19.8,62.4,600.0,Central,2022-02-20
178,,,45.0,103.9,626.0,North,2023-05-05
179,31.0,32862.6,14.0,142.7,749.0,Central,2022-08-16
180,,,51.2,82.2,,South,2022-12-19
181,42.0,,21.2,19.9,483.0,West,2021-05-29
182,,,8.5,55.1,777.0,North,2023-02-07
183,,,58.8,9.1,784.0,Central,2024-10-28
184,,48727.96,44.7,7.5,600.0,West,2020-01-24
185,,,36.8,61.1,577.0,Central,2023-10-25
186,43.0,7600.44,33.5,114.3,,East,2024-01-16
187,40.0,,20.8,4.2,599.0,West,2020-08-22
188,,,41.1,6.7,770.0,,2023-10-28
189,24.0,,14.2,50.0,689.0,North,2024-12-17
190,18.0,145064.78,10.2,14.8,590.0,North,2023-01-04
191,29.0,,50.8,56.8,673.0,North,2024-03-17
192,45.0,,43.6,14.5,656.0,North,2021-06-30
193,,56659.65,50.1,7.4,496.0,East,2024-04-23
194,20.0,,62.6,47.3,571.0,East,2023-08-05
195,37.0,,12.9,118.9,597.0,South,2021-11-27
196,,,36.4,69.3,,,2020-08-16
197,24.0,,25.3,102.5,695.0,East,2021-08-24
198,36.0,,39.5,18.6,,North,2022-06-09
199,35.0,18450.61,21.0,130.3,594.0,South,2020-11-19
200,,,47.7,28.4,531.0,West,2022-07-18
201,,,44.4,114.8,582.0,East,2020-01-07
202,41.0,,35.2,38.2,594.0,West,2024-01-18
203,47.0,,4.1,18.7,586.0,North,2024-11-28
204,,67278.78,23.1,18.1,648.0,East,2024-01-13
205,18.0,,61.3,50.3,706.0,South,2021-06-23
206,23.0,,39.6,4.9,617.0,South,2022-10-22
207,,,,159.6,690.0,West,2024-04-09
208,41.0,24227.1,4.9,19.0,728.0,East,2020-12-31
209,41.0,,4.5,24.5,649.0,North,2022-11-05
210,,,,15.9,559.0,Central,2020-08-05
211,41.0,,36.0,0.2,628.0,Central,2024-11-17
212,,,39.7,70.8,732.0,North,2023-07-04
213,,31563.74,21.8,53.6,700.0,South,2021-09-03
214,,,27.2,99.5,565.0,Central,2024-09-19
215,31.0,,8.0,2.5,,North,2023-08-01
216,44.0,,31.5,158.4,624.0,West,2022-11-05
217,25.0,45833.56,11.7,24.1,564.0,South,2023-06-01
218,,,43.3,146.6,647.0,North,2021-02-11
219,29.0,,26.9,6.8,528.0,West,2020-11-09
220,,,42.5,81.7,702.0,East,2022-02-04
221,62.0,151421.11,18.0,52.0,742.0,Central,2024-04-10
222,,36708.38,30.3,26.6,570.0,Central,2020-11-26
223,43.0,,18.1,4.9,637.0,Central,2023-01-09
224,,,,55.7,720.0,,2024-05-13
225,29.0,380227.99,22.3,1.6,544.0,East,2022-12-22
226,48.0,,15.0,41.7,552.0,North,2020-01-02
227,,,45.3,55.6,631.0,North,2023-05-11
228,22.0,,27.2,79.1,628.0,East,2021-10-25
229,,58698.55,22.1,284.9,654.0,West,2022-09-27
230,43.0,,29.0,18.1,642.0,South,2020-02-09
231,26.0,,20.6,23.4,544.0,Central,2020-08-17
232,,,24.6,25.0,521.0,East,2022-01-13
233,35.0,,39.6,78.9,,West,2024-12-04
234,27.0,,25.7,161.1,690.0,East,2024-08-30
235,60.0,46456.23,24.4,219.7,726.0,South,2024-07-10
236,42.0,,46.7,174.9,643.0,East,2021-09-21
237,18.0,11869.84,10.7,126.9,707.0,East,2021-05-05
238,37.0,,,282.5,601.0,West,2020-04-28
239,27.0,41937.32,21.9,28.3,,Central,2021-05-08
240,45.0,,57.1,177.8,724.0,Central,2024-12-03
241,,,28.8,85.9,687.0,West,2023-03-07
242,,18509.77,23.4,11.1,664.0,,2020-06-10
243,41.0,,8.1,2.8,,,2020-06-24
244,,61300.59,17.1,14.5,557.0,North,2024-02-07
245,,,39.4,90.5,657.0,South,2022-09-22
246,,,14.1,59.9,675.0,North,2024-07-29
247,29.0,,33.9,15.2,827.0,North,2020-05-21
248,27.0,,53.7,81.3,644.0,East,2024-04-06
249,,,24.0,9.1,620.0,,2022-12-26
250,,50976.07,19.2,103.5,673.0,West,2024-04-17
251,,,7.5,94.8,,Central,2020-09-14
252,,,29.5,215.8,678.0,South,2020-09-19
253,,,35.1,9.8,636.0,North,2023-09-13
254,,,10.5,142.3,587.0,East,2022-08-31
255,,,4.6,25.0,583.0,Central,2023-01-30
256,29.0,,29.8,32.3,712.0,North,2020-12-04
257,50.0,,22.2,37.9,627.0,Central,2021-06-26
258,26.0,20111.4,50.7,59.2,811.0,,2022-12-16
259,40.0,,9.1,315.1,657.0,West,2024-11-21
260,,183152.09,52.5,55.0,689.0,North,2023-05-27
261,23.0,98916.62,29.7,156.8,606.0,North,2022-05-16
262,34.0,,27.0,17.7,584.0,South,2021-03-09
263,18.0,,46.7,30.5,,North,2023-01-09
264,,,50.1,42.1,746.0,East,2024-03-26
265,,,21.3,23.4,570.0,Central,2024-02-03
266,,,36.4,226.0,591.0,Central,2023-11-13
267,,,25.1,77.6,597.0,West,2021-02-15
268,18.0,23427.73,10.7,39.1,704.0,West,2023-12-31
269,29.0,,33.4,83.5,679.0,East,2021-09-30
270,,,23.6,37.8,642.0,Central,2022-03-28
271,,,16.0,1.0,588.0,West,2023-10-07
272,18.0,287888.11,16.8,47.0,779.0,West,2023-08-23
273,,,38.6,58.9,728.0,South,2022-02-03
274,35.0,,28.2,238.5,490.0,South,2022-06-16
275,23.0,,21.0,2.5,719.0,East,2022-11-25
276,40.0,,,43.1,627.0,East,2022-07-13
277,37.0,,9.0,6.2,602.0,East,2020-09-04
278,,,45.3,9.7,711.0,East,2021-05-22
279,,,26.2,56.6,678.0,Central,2021-04-05
280,30.0,,,15.8,657.0,North,2020-05-11
281,,,31.0,83.0,578.0,East,2021-11-23
282,,,55.9,43.3,731.0,South,2020-02-13
283,,,29.1,14.8,551.0,North,2023-04-19
284,20.0,,16.9,40.8,712.0,North,2023-02-08
285,60.0,,29.5,0.1,657.0,Central,2021-04-16
286,18.0,50648.32,4.1,119.2,647.0,West,2023-04-20
287,,,21.3,0.8,606.0,North,2021-03-27
288,,,36.8,0.4,,Central,2020-01-15
289,38.0,,15.9,56.7,540.0,Central,2020-05-25
290,27.0,75232.21,55.3,217.9,749.0,Central,2023-12-20
291,,,11.5,116.2,618.0,East,2023-07-16
292,29.0,,39.2,17.4,,West,2020-04-30
293,,10971.68,19.9,13.1,,East,2021-04-13
294,,,62.5,59.0,620.0,South,2020-05-18
295,39.0,,29.5,103.8,749.0,West,2020-03-05
296,26.0,,12.9,27.0,511.0,East,2024-10-26
297,,38702.47,46.0,34.0,644.0,West,2021-11-07
298,,66639.95,34.2,7.4,777.0,,2020-05-25
299,,,43.0,10.0,655.0,,2022-11-18
300,42.0,45389.67,43.7,50.4,665.0,West,2021-05-02
301,25.0,,18.5,6.5,648.0,South,2021-07-24
302,28.0,,68.1,13.5,598.0,Central,2023-10-02
303,43.0,,51.0,16.0,693.0,,2022-09-21
304,42.0,,44.3,35.2,635.0,South,2021-03-14
305,,,25.8,2.8,661.0,Central,2023-01-09
306,36.0,,9.8,41.6,694.0,South,2020-09-27
307,,,5.1,158.4,685.0,North,2024-01-21
