IP,Timestamp,Status,Full log line
178.238.36.108,22/Nov/2025:00:24:55 +0000,404,"178.238.36.108 - - [22/Nov/2025:00:24:55 +0000] ""GET /static/images/logo.png HTTP/1.1"" 404 12807 ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_6_1) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1 Safari/605.1.15"""
138.66.62.136,02/Nov/2025:11:49:28 +0000,404,"138.66.62.136 - - [02/Nov/2025:11:49:28 +0000] ""GET /static/js/app.js HTTP/1.1"" 404 1779 ""Mozilla/5.0 (Linux; Android 14; Pixel 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36"""
161.39.82.86,17/Nov/2025:13:31:53 +0000,404,"161.39.82.86 - - [17/Nov/2025:13:31:53 +0000] ""GET /index.html HTTP/1.1"" 404 9328 ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"""
96.219.2.90,22/Nov/2025:23:56:27 +0000,404,"96.219.2.90 - - [22/Nov/2025:23:56:27 +0000] ""POST / HTTP/1.1"" 404 7795 ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"""
32.0.19.246,09/Nov/2025:15:28:33 +0000,404,"32.0.19.246 - - [09/Nov/2025:15:28:33 +0000] ""GET /user/profile/12345 HTTP/1.1"" 404 5116 ""Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36 (compatible; Googlebot/2.1)"""
103.129.105.202,23/Nov/2025:22:13:47 +0000,404,"103.129.105.202 - - [23/Nov/2025:22:13:47 +0000] ""GET /favicon.ico HTTP/1.1"" 404 5448 ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14.6; rv:131.0) Gecko/20100101 Firefox/131.0"""
211.58.182.41,23/Nov/2025:02:48:17 +0000,404,"211.58.182.41 - - [23/Nov/2025:02:48:17 +0000] ""POST /index.html HTTP/1.1"" 404 9224 ""Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36 (compatible; Googlebot/2.1)"""
13.3.73.197,10/Nov/2025:10:08:04 +0000,404,"13.3.73.197 - - [10/Nov/2025:10:08:04 +0000] ""GET /index.html HTTP/1.1"" 404 100 ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36"""
126.33.52.78,07/Nov/2025:14:55:05 +0000,404,"126.33.52.78 - - [07/Nov/2025:14:55:05 +0000] ""GET /search?q=hacking HTTP/1.1"" 404 28770 ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"""
74.118.139.51,25/Nov/2025:22:16:35 +0000,404,"74.118.139.51 - - [25/Nov/2025:22:16:35 +0000] ""GET /index.html HTTP/1.1"" 404 29759 ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14.6; rv:131.0) Gecko/20100101 Firefox/131.0"""
69.38.188.139,19/Nov/2025:06:51:23 +0000,404,"69.38.188.139 - - [19/Nov/2025:06:51:23 +0000] ""GET / HTTP/1.1"" 404 100 ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36"""
